# bsp
Input,0x0,0x3
InputMemory,0x100,1000100100011111
OutputMemory,0x100,1000100100010111

# 1
Input,0x0,0x0
InputMemory,0x100,0000000000000000
OutputMemory,0x100,0000000000000001

# 2
Input,0x0,0x1
InputMemory,0x100,0000000000000000
OutputMemory,0x100,0000000000000010

# 3
Input,0x0,0xF
InputMemory,0x100,0000000000000000
OutputMemory,0x100,1000000000000000

# 4
Input,0x0,0x0
InputMemory,0x100,1111111111111111
OutputMemory,0x100,1111111111111110

# 5
Input,0x0,0x1
InputMemory,0x100,1111111111111111
OutputMemory,0x100,1111111111111101

# 6
Input,0x0,0xF
InputMemory,0x100,1111111111111111
OutputMemory,0x100,0111111111111111

